kwtts001001001_0	整理床单位
kwtts001001001_1	开始整理床单位
kwtts001001001_2	结束整理床单位
kwtts001001001_3	整理床单位开始
kwtts001001001_4	整理床单位结束
kwtts001001002_0	头面部清洁梳理
kwtts001001002_1	开始头面部清洁梳理
kwtts001001002_2	结束头面部清洁梳理
kwtts001001002_3	头面部清洁梳理开始
kwtts001001002_4	头面部清洁梳理结束
kwtts001001003_0	洗发
kwtts001001003_1	开始洗发
kwtts001001003_2	结束洗发
kwtts001001003_3	洗发开始
kwtts001001003_4	洗发结束
kwtts001001004_0	手足部清洁
kwtts001001004_1	开始手足部清洁
kwtts001001004_2	结束手足部清洁
kwtts001001004_3	手足部清洁开始
kwtts001001004_4	手足部清洁结束
kwtts001001005_0	指趾甲护理
kwtts001001005_1	开始指趾甲护理
kwtts001001005_2	结束指趾甲护理
kwtts001001005_3	指趾甲护理开始
kwtts001001005_4	指趾甲护理结束
kwtts001001006_0	温水擦浴
kwtts001001006_1	开始温水擦浴
kwtts001001006_2	结束温水擦浴
kwtts001001006_3	温水擦浴开始
kwtts001001006_4	温水擦浴结束
kwtts001001007_0	沐浴
kwtts001001007_1	开始沐浴
kwtts001001007_2	结束沐浴
kwtts001001007_3	沐浴开始
kwtts001001007_4	沐浴结束
kwtts001001008_0	口腔清洁
kwtts001001008_1	开始口腔清洁
kwtts001001008_2	结束口腔清洁
kwtts001001008_3	口腔清洁开始
kwtts001001008_4	口腔清洁结束
kwtts001001009_0	协助更衣
kwtts001001009_1	开始协助更衣
kwtts001001009_2	结束协助更衣
kwtts001001009_3	协助更衣开始
kwtts001001009_4	协助更衣结束
kwtts001001010_0	会阴护理
kwtts001001010_1	开始会阴护理
kwtts001001010_2	结束会阴护理
kwtts001001010_3	会阴护理开始
kwtts001001010_4	会阴护理结束
kwtts001001011_0	晨间护理
kwtts001001011_1	开始晨间护理
kwtts001001011_2	结束晨间护理
kwtts001001011_3	晨间护理开始
kwtts001001011_4	晨间护理结束
kwtts001001012_0	晚间护理
kwtts001001012_1	开始晚间护理
kwtts001001012_2	结束晚间护理
kwtts001001012_3	晚间护理开始
kwtts001001012_4	晚间护理结束
kwtts001001013_0	药物管理
kwtts001001013_1	开始药物管理
kwtts001001013_2	结束药物管理
kwtts001001013_3	药物管理开始
kwtts001001013_4	药物管理结束
kwtts001001014_0	生活自理能力训练
kwtts001001014_1	开始生活自理能力训练
kwtts001001014_2	结束生活自理能力训练
kwtts001001014_3	生活自理能力训练开始
kwtts001001014_4	生活自理能力训练结束
kwtts001001015_0	协助进食
kwtts001001015_1	开始协助进食
kwtts001001015_2	结束协助进食
kwtts001001015_3	协助进食开始
kwtts001001015_4	协助进食结束
kwtts001001015_10	协助进水
kwtts001001015_11	开始协助进水
kwtts001001015_12	结束协助进水
kwtts001001015_13	协助进水开始
kwtts001001015_14	协助进水结束
kwtts001001016_0	排泄护理
kwtts001001016_1	开始排泄护理
kwtts001001016_2	结束排泄护理
kwtts001001016_3	排泄护理开始
kwtts001001016_4	排泄护理结束
kwtts001001017_0	失禁护理
kwtts001001017_1	开始失禁护理
kwtts001001017_2	结束失禁护理
kwtts001001017_3	失禁护理开始
kwtts001001017_4	失禁护理结束
kwtts001001018_0	床上使用便器
kwtts001001018_1	开始床上使用便器
kwtts001001018_2	结束床上使用便器
kwtts001001018_3	床上使用便器开始
kwtts001001018_4	床上使用便器结束
kwtts001001019_0	人工取便术
kwtts001001019_1	开始人工取便术
kwtts001001019_2	结束人工取便术
kwtts001001019_3	人工取便术开始
kwtts001001019_4	人工取便术结束
kwtts001001020_0	协助翻身扣背排痰
kwtts001001020_1	开始协助翻身扣背排痰
kwtts001001020_2	结束协助翻身扣背排痰
kwtts001001020_3	协助翻身扣背排痰开始
kwtts001001020_4	协助翻身扣背排痰结束
kwtts001001021_0	留置尿管的护理
kwtts001001021_1	开始留置尿管的护理
kwtts001001021_2	结束留置尿管的护理
kwtts001001021_3	留置尿管的护理开始
kwtts001001021_4	留置尿管的护理结束
kwtts001001022_0	人工肛门便袋护理
kwtts001001022_1	开始人工肛门便袋护理
kwtts001001022_2	结束人工肛门便袋护理
kwtts001001022_3	人工肛门便袋护理开始
kwtts001001022_4	人工肛门便袋护理结束
kwtts001001023_0	压疮预防护理
kwtts001001023_1	开始压疮预防护理
kwtts001001023_2	结束压疮预防护理
kwtts001001023_3	压疮预防护理开始
kwtts001001023_4	压疮预防护理结束
kwtts001001024_0	皮肤外用药涂擦
kwtts001001024_1	开始皮肤外用药涂擦
kwtts001001024_2	结束皮肤外用药涂擦
kwtts001001024_3	皮肤外用药涂擦开始
kwtts001001024_4	皮肤外用药涂擦结束
kwtts001001025_0	协助床上移动
kwtts001001025_1	开始协助床上移动
