序号,汉字,"通用规范汉字表等级",数量,ASR等级
1,一,1,20416885,1
2,乙,1,89583,1
3,二,1,1366315,1
4,十,1,1051526,1
5,丁,1,128354,1
6,厂,1,156626,1
7,七,1,252919,1
8,卜,1,50048,1
9,八,1,354695,1
10,人,1,12730720,1
11,入,1,1547623,1
12,儿,1,950883,1
13,匕,1,6894,1
14,几,1,1769612,1
15,九,1,192255,1
16,刁,1,7272,1
17,了,1,14997221,1
18,刀,1,183502,1
19,力,1,2319353,1
20,乃,1,50500,1
21,又,1,1351314,1
22,三,1,1874744,1
23,干,1,749709,1
24,于,1,3384858,1
25,亏,1,72195,1
26,工,1,2360277,1
27,土,1,317984,1
28,士,1,626933,1
29,才,1,1326089,1
30,下,1,4861668,1
31,寸,1,68788,1
32,大,1,8491741,1
33,丈,1,52102,1
34,与,1,1451989,1
35,万,1,820703,1
36,上,1,7152728,1
37,小,1,3556472,1
38,口,1,1041219,1
39,山,1,558424,1
40,巾,1,44920,1
41,千,1,394408,1
42,乞,1,12318,1
43,川,1,128021,1
44,亿,1,122280,1
45,个,1,11800119,1
46,夕,1,35890,1
47,久,1,477585,1
48,么,1,8657486,1
49,勺,1,21466,1
50,凡,1,115814,1
51,丸,1,58181,1
52,及,1,1016861,1
53,广,1,551422,1
54,亡,1,145616,1
55,门,1,962257,1
56,丫,1,18793,1
57,义,1,789601,1
58,之,1,2963246,1
59,尸,1,56738,1
60,己,1,3142870,1
61,已,1,1479392,1
62,巳,1,9803,2
63,弓,1,40116,1
64,子,1,4303022,1
65,卫,1,216687,1
66,也,1,5859561,1
67,女,1,2563564,1
68,刃,1,17599,1
69,飞,1,380759,1
70,习,1,1175343,1
71,叉,1,38534,1
72,马,1,708404,1
73,乡,1,120857,1
74,丰,1,147978,1
75,王,1,520323,1
76,开,1,2930822,1
77,井,1,47942,1
78,天,1,3580035,1
79,夫,1,286193,1
80,元,1,668905,1
81,无,1,2273136,1
82,云,1,267560,1
83,专,1,1124402,1
84,丐,1,7830,1
85,扎,1,79308,1
86,艺,1,402699,1
87,木,1,277955,1
88,五,1,623672,1
89,支,1,523389,1
90,厅,1,94129,1
91,不,1,20169784,1
92,犬,1,49333,1
93,太,1,1490869,1
94,区,1,1506171,1
95,历,1,996362,1
96,歹,1,16300,1
97,友,1,2023873,1
98,尤,1,200823,1
99,匹,1,38865,1
100,车,1,1319072,1
101,巨,1,150107,1
102,牙,1,281862,1
103,屯,1,7596,1
104,戈,1,22112,1
105,比,1,2975265,1
106,互,1,454068,1
107,切,1,480182,1
108,瓦,1,52253,1
109,止,1,357681,1
110,少,1,1738166,1
111,曰,1,39262,1
112,日,1,1964177,1
113,中,1,5819563,1
114,贝,1,126671,1
115,冈,1,15607,1
116,内,1,1837802,1
117,水,1,1706544,1
118,见,1,1250595,1
119,午,1,206730,1
120,牛,1,380085,1
121,手,1,2341693,1
122,气,1,1160047,1
123,毛,1,359787,1
124,壬,1,10345,3
125,升,1,401646,1
126,夭,1,5757,1
127,长,1,1843563,1
128,仁,1,96951,1
129,什,1,4765643,1
130,片,1,857995,1
131,仆,1,10397,1
132,化,1,1485121,1
133,仇,1,52682,1
134,币,1,163294,1
135,仍,1,153163,1
136,仅,1,413210,1
137,斤,1,91440,1
138,爪,1,21648,1
139,反,1,1095522,1
140,介,1,298223,1
141,父,1,550231,1
142,从,1,1992717,1
143,仑,1,11734,1
144,今,1,826759,1
145,凶,1,42516,1
146,分,1,3482759,1
147,乏,1,102254,1
148,公,1,2080380,1
149,仓,1,72358,1
150,月,1,1658494,1
151,氏,1,67280,1
152,勿,1,49210,1
153,欠,1,52298,1
154,风,1,833326,1
155,丹,1,78881,1
156,匀,1,48128,1
157,乌,1,81252,1
158,勾,1,53260,1
159,凤,1,53363,1
160,六,1,304831,1
161,文,1,2076336,1
162,亢,1,14623,1
163,方,1,3307884,1
164,火,1,592109,1
165,为,1,7530557,1
166,斗,1,241639,1
167,忆,1,146947,1
168,计,1,1256878,1
169,订,1,89768,1
170,户,1,609022,1
171,认,1,1338420,1
172,冗,1,4152,1
173,讥,1,3584,1
174,心,1,3379856,1
175,尺,1,58488,1
176,引,1,530937,1
177,丑,1,111087,1
178,巴,1,356270,1
179,孔,1,97794,1
180,队,1,598902,1
181,办,1,835203,1
182,以,1,7426410,1
183,允,1,69553,1
184,予,1,86532,1
185,邓,1,27584,1
186,劝,1,78525,1
187,双,1,452437,1
188,书,1,1111617,1
189,幻,1,144032,1
190,玉,1,144333,1
191,刊,1,33981,1
192,未,1,547955,1
193,末,1,166614,1
194,示,1,548074,1
195,击,1,525946,1
196,打,1,1803893,1
197,巧,1,179100,1
198,正,1,1774888,1
199,扑,1,39727,1
200,卉,1,5949,1
201,扒,1,20046,1
202,功,1,714094,1
203,扔,1,50617,1
204,去,1,3532966,1
205,甘,1,90254,1
206,世,1,1018144,1
207,艾,1,63713,1
208,古,1,395876,1
209,节,1,722659,1
210,本,1,3406142,1
211,术,1,963378,1
212,可,1,6357295,1
213,丙,1,28454,1
214,左,1,443295,1
215,厉,1,113524,1
216,石,1,332019,1
217,右,1,447295,1
218,布,1,408641,1
219,夯,1,1343,2
220,戊,1,12782,1
221,龙,1,315836,1
222,平,1,1403324,1
223,灭,1,114449,1
224,轧,1,3028,1
225,东,1,1186308,1
226,卡,1,561812,1
227,北,1,726002,1
228,占,1,207666,1
229,凸,1,18966,1
230,卢,1,29179,1
231,业,1,2932828,1
232,旧,1,148000,1
233,帅,1,128216,1
234,归,1,194228,1
235,旦,1,102549,1
236,目,1,1251298,1
237,且,1,1112566,1
238,叶,1,151383,1
239,甲,1,247407,1
240,申,1,221454,1
241,叮,1,11390,1
242,电,1,2321084,1
243,号,1,908448,1
244,田,1,118456,1
245,由,1,941608,1
246,只,1,2675747,1
247,叭,1,8899,1
248,史,1,595127,1
249,央,1,95687,1
250,兄,1,110159,1
251,叽,1,6314,1
252,叼,1,4890,1
253,叫,1,519464,1
254,叩,1,3578,1
255,叨,1,18148,1
256,另,1,519508,1
257,叹,1,43764,1
258,冉,1,4192,1
259,皿,1,4387,1
260,凹,1,14547,1
261,囚,1,8317,1
262,四,1,767972,1
263,生,1,6253238,1
264,矢,1,11561,1
265,失,1,648544,1
266,乍,1,8655,1
267,禾,1,4065,1
268,丘,1,24513,1
269,付,1,302276,1
270,仗,1,27705,1
271,代,1,1223618,1
272,仙,1,134041,1
273,们,1,4214206,1
274,仪,1,93254,1
275,白,1,1139817,1
276,仔,1,92377,1
277,他,1,5650236,1
278,斥,1,38125,1
279,瓜,1,108322,1
280,乎,1,458120,1
281,丛,1,15924,1
282,令,1,226252,1
283,用,1,4915808,1
284,甩,1,33549,1
285,印,1,361889,1
286,尔,1,539545,1
287,乐,1,1031492,1
288,句,1,607320,1
289,匆,1,21608,1
290,册,1,137672,1
291,卯,1,12842,1
292,犯,1,174547,1
293,外,1,1928008,1
294,处,1,1024075,1
295,冬,1,135631,1
296,鸟,1,100615,1
297,务,1,943631,1
298,包,1,719667,1
299,饥,1,22378,1
300,主,1,2688197,1
301,市,1,1034845,1
302,立,1,644359,1
303,冯,1,18459,1
304,玄,1,44975,1
305,闪,1,79808,1
306,兰,1,277041,1
307,半,1,656408,1
308,汁,1,81483,1
309,汇,1,125963,1
310,头,1,1253386,1
311,汉,1,345468,1
312,宁,1,124057,1
313,穴,1,28207,1
314,它,1,820406,1
315,讨,1,335538,1
316,写,1,895099,1
317,让,1,1612392,1
318,礼,1,233089,1
319,训,1,236200,1
320,议,1,587653,1
321,必,1,728732,1
322,讯,1,130488,1
323,记,1,870377,1
324,永,1,228689,1
325,司,1,892658,1
326,尼,1,207457,1
327,民,1,1018494,1
328,弗,1,36074,1
329,弘,1,9650,1
330,出,1,4358202,1
331,辽,1,22611,1
332,奶,1,361528,1
333,奴,1,46183,1
334,召,1,48396,1
335,加,1,1747368,1
336,皮,1,577318,1
337,边,1,798169,1
338,孕,1,245312,1
339,发,1,3658231,1
340,圣,1,158920,1
341,对,1,4784374,1
342,台,1,709330,1
343,矛,1,85776,1
344,纠,1,117428,1
345,母,1,665285,1
346,幼,1,113785,1
347,丝,1,288141,1
348,邦,1,44158,1
349,式,1,994079,1
350,迂,1,2817,1
351,刑,1,82814,1
352,戎,1,3421,1
353,动,1,2493079,1
354,扛,1,13669,1
355,寺,1,36996,1
356,吉,1,135085,1
357,扣,1,96376,1
358,考,1,1559274,1
359,托,1,176350,1
360,老,1,1819220,1
361,巩,1,10918,1
362,圾,1,72599,1
363,执,1,176253,1
364,扩,1,84616,1
365,扫,1,77342,1
366,地,1,2879546,1
367,场,1,1121834,1
368,扬,1,80081,1
369,耳,1,211123,1
370,芋,1,6557,1
371,共,1,432877,1
372,芒,1,23002,1
373,亚,1,336176,1
374,芝,1,39032,1
375,朽,1,7269,1
376,朴,1,38151,1
377,机,1,2299502,1
378,权,1,552006,1
379,过,1,4925824,1
380,臣,1,37972,1
381,吏,1,5619,1
382,再,1,1414246,1
383,协,1,155243,1
384,西,1,1349878,1
385,压,1,489133,1
386,厌,1,133565,1
387,戌,1,8617,2
388,在,1,11792435,1
389,百,1,613317,1
390,有,1,16777381,1
391,存,1,723824,1
392,而,1,3167886,1
393,页,1,183466,1
394,匠,1,23170,1
395,夸,1,72451,1
396,夺,1,60375,1
397,灰,1,97184,1
398,达,1,666466,1
399,列,1,391726,1
400,死,1,802781,1
401,成,1,3142110,1
402,夹,1,83826,1
403,夷,1,20481,1
404,轨,1,79218,1
405,邪,1,52253,1
406,尧,1,5129,1
407,划,1,334464,1
408,迈,1,30129,1
409,毕,1,605750,1
410,至,1,1026721,1
411,此,1,1123850,1
412,贞,1,14930,1
